ID1 ID2 UDdiam LDdiam e_LDdiam Band mu-lambda Method BandCode Notes BibCode Com CADARS SimbadName _RA _DE
HD177940 "R AQL" 25 "" 6 700 "" 1 4 "" 1995MNRAS.276..640H "" 2 HD177940 286.59271 8.23000
HD187796 "KHI CYG" 40 "" 4 700 "" 1 4 "" 1995MNRAS.276..640H "" 2 HD187796 297.64132 32.91404
HD202012 "T CEP" 34 "" 4 700 "" 1 4 "" 1995MNRAS.276..640H "" 1 HD202012 317.38243 68.49089
HD224490 "R CAS" 41.4 "" 4 700 "" 1 4 "" 1995MNRAS.276..640H "" 2 HD224490 359.60362 51.38880
HD224855 "WZ CAS" 5.8 "" 0.7 2.2 "" 1 8 "" 1996AJ....112..294D "" 1 HD224855 0.31607 60.35528
HD1546 "VX AND" 6.6 "" 0.6 2.2 "" 1 8 "" 1996AJ....112..294D "" 1 HD1546 4.97507 44.70942
HD2342 "AQ AND" 4 "" 0.8 2.2 "" 1 8 "" 1996AJ....112..294D "" 1 HD2342 6.88201 35.58736
HD7561 "Z PSC" 4.8 "" 0.7 2.2 "" 1 8 "" 1996AJ....112..294D "" 1 HD7561 19.02096 25.76936
HD32736 "W ORI" 9.7 "" 0.6 2.2 "" 1 8 "" 1996AJ....112..294D "" 1 HD32736 76.34883 1.17763
HD36602 "RT ORI" 4.4 "" 0.9 2.2 "" 1 8 "" 1996AJ....112..294D "" 1 HD36602 83.30727 7.15345
HD110914 "Y CVN" 11.6 "" 0.3 2.2 "" 1 8 "" 1996AJ....112..294D "" 3 HD110914 191.28261 45.44025
HD177336 "V AQL" 10.32 "" 0.7 2.2 "" 1 8 "" 1996AJ....112..294D "" 1 HD177336 286.10065 -5.68484
HD192443 "RS CYG" 4.3 "" 0.8 2.2 "" 1 8 "" 1996AJ....112..294D "" 1 HD192443 303.34859 38.72902
HD206570 "V460 CYG" 6.3 "" 0.5 2.2 "" 1 8 "" 1996AJ....112..294D "" 1 HD206570 325.50451 35.51020
HD206750 "RV CYG" 7.6 "" 0.5 2.2 "" 1 8 "" 1996AJ....112..294D "" 1 HD206750 325.81803 38.01749
HD223075 "TX PSC" 11.2 "" 0.3 2.2 "" 1 8 "" 1996AJ....112..294D "" 9 HD223075 356.59797 3.48681
HD1845 "T CAS" 12.81 "" 0.66 2.2 "" 1 8 "" 1996AJ....112.2147V "" 1 HD1845 5.80945 55.79256
HD12025 "U PER" 5.84 "" 0.78 2.2 "" 1 8 "" 1996AJ....112.2147V "" 1 HD12025 29.89634 54.82223
HD34019 "R AUR" 11.06 "" 0.58 2.2 "" 1 8 "" 1996AJ....112.2147V "" 1 HD34019 79.32368 53.58612
HD36090 "S ORI" 10.54 "" 0.68 2.2 "" 1 8 "" 1996AJ....112.2147V "" 1 HD36090 82.25372 -4.69244
HD39816 "U ORI" 11.08 "" 0.57 2.2 "" 1 8 "" 1996AJ....112.2147V "" 5 HD39816 88.95487 20.17519
HD141850 "R SER" 8.56 "" 0.58 2.2 "" 1 8 "" 1996AJ....112.2147V "" 1 HD141850 237.67389 15.13363
HD148206 "U HER" 10.65 "" 0.79 2.2 "" 1 8 "" 1996AJ....112.2147V "" 3 HD148206 246.44780 18.89246
HD152276 "S HER" 4.85 "" 1.17 2.2 "" 1 8 "" 1996AJ....112.2147V "" 1 HD152276 252.97466 14.94188
HD172171 "X OPH" 12.97 "" 0.6 2.2 "" 1 8 "" 1996AJ....112.2147V "" 1 HD172171 279.58805 8.83411
HD177940 "R AQL" 10.76 "" 0.61 2.2 "" 1 8 "" 1996AJ....112.2147V "" 2 HD177940 286.59271 8.23000
HD218292 "R PEG" 10.18 "" 0.4 2.2 "" 1 8 "" 1996AJ....112.2147V "" 1 HD218292 346.66319 10.54335
HD220033 "S PEG" 7.9 "" 0.72 2.2 "" 1 8 "" 1996AJ....112.2147V "" 1 HD220033 350.13589 8.91893
HD222800 "R AQR" 14.95 "" 0.93 2.2 "" 1 8 "" 1996AJ....112.2147V "" 4 HD222800 355.95610 -15.28450
HD224490 "R CAS" 13.55 "" 0.95 2.2 "" 1 8 "" 1996AJ....112.2147V "" 2 HD224490 359.60362 51.38880
HD213306 "DEL CEP" 1.6 1.6 0.12 660nm "" 1 4 "" 1997A&A...317..789M "" 29 HD213306 337.29274 58.41519
HD29712 "R DOR" 57 "" 5 1.25 "" 1 6 "" 1997MNRAS.286..957B "" 2 HD29712 69.18996 -62.07717
HD12479 IRC+10024 3.2 "" 0.2 2.2 "" 2 8 "" 1997MNRAS.287..681R "" 6 HD12479 30.64615 13.47671
HD26816 "NSV 1529" 3.3 "" 0.3 2.2 "" 2 8 "" 1997MNRAS.287..681R "" 1 HD26816 63.85052 24.07848
HD39983 "BQ ORI" 4.2 "" 0.2 2.2 "" 2 8 "" 1997MNRAS.287..681R "" 3 HD39983 89.28078 22.83894
HD64351 IRC+20190 2 "" "" 2.2 "" 2 8 "" 1997MNRAS.287..681R "" 1 HD64351 118.55543 21.10526
HD75156 IRC+10194 4.2 "" 0.5 2.2 "" 2 8 "" 1997MNRAS.287..681R "" 5 HD75156 132.16474 12.54694
HD17446 "T Ari" 7.08 "" 0.13 2.2 "" 2 8 "" 1998A&A...330..578R "" 0 HD17446 42.08225 17.50939
HD18310 IRC+10034 3.64 "" 0.07 2.2 "" 2 8 "" 1998A&A...330..578R "" 0 HD18310 44.21733 14.60959
HD26038 IRC+20071 2.71 "" 0.15 2.2 "" 2 8 "" 1998A&A...330..578R "" 0 HD26038 61.99757 17.33990
HD36389 "CE Tau" 9.93 "" 0.04 3.12 "" 2 9 "" 1998A&A...330..578R "" 8 HD36389 83.05314 18.59423
HD36389 "CE Tau" 9.99 "" 0.1 3.12 "" 2 9 "" 1998A&A...330..578R "" 8 HD36389 83.05314 18.59423
HD42049 IRC+20133 2.81 "" 0.09 2.2 "" 2 8 "" 1998A&A...330..578R "" 0 HD42049 92.38515 22.19027
HD43185 IRC+20141 2.11 "" 0.09 2.2 "" 2 8 "" 1998A&A...330..578R "" 0 HD43185 93.92229 18.29748
BD-214897 IRC-20445 1.74 "" 0.24 2.2 "" 2 8 "" 1998A&A...330..578R "" 0 BD-214897 273.08626 -21.10857
HD172816 IRC-20510 8.09 "" 0.27 2.2 "" 2 8 "" 1998A&A...330..578R "" 8 HD172816 280.72958 -19.28421
HD180540 IRC-20550 1.43 "" 0.15 2.2 "" 2 8 "" 1998A&A...330..578R "" 2 HD180540 289.40866 -18.95291
HD285268 IRC+20067 3.68 "" 0.24 2.2 "" 2 8 "" 1998A&A...338..527R "" 0 HD285268 58.47870 15.61154
HD27371 IRC+20074 2.69 "" 0.18 2.2 "" 2 8 "" 1998A&A...338..527R "" 7 HD27371 64.94835 15.62764
HD36231 "" 3.79 "" 0.13 2.2 "" 2 8 "" 1998A&A...338..527R "" 1 HD36231 82.77638 18.56054
HD42475 "" 4.46 "" 0.07 2.2 "" 2 8 "" 1998A&A...338..527R "" 1 HD42475 92.96423 21.86824
IRC+20155 "" 3.89 "" 0.12 2.2 "" 2 8 "" 1998A&A...338..527R "" 0 IRC+20155 99.74122 19.24703
HD70421 "Z Cnc" 4.26 "" 0.31 "L Band" "" 2 9 "" 1998A&A...338..527R "" 0 HD70421 125.60538 14.99220
IRC-20356 "" 3.02 "" 0.24 2.2 "" 2 8 "" 1998A&A...338..527R "" 0 IRC-20356 259.98780 -21.73204
IRC-20453 "" 3.24 "" 0.16 2.2 "" 2 8 "" 1998A&A...338..527R "" 0 IRC-20453 273.86617 -18.92491
HD432 HR21 2.05 2.12 0.05 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 8 HD432 2.29452 59.14978
HD3546 "EPS AND" 1.68 1.77 0.08 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD3546 9.63894 29.31175
HD3712 "ALF CAS" 5.29 5.6 0.05 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 6 HD3712 10.12684 56.53733
HD5395 HR265 1.54 1.63 0.1 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD5395 14.16627 59.18106
HD6186 HR294 1.65 1.74 0.09 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HD6186 15.73587 7.89013
HD7087 HR351 1.6 1.69 0.08 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HD7087 17.86341 21.03465
HD9270 HR437 2.5 2.64 0.1 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 1 HD9270 22.87088 15.34582
HD9408 HR442 1.55 1.64 0.09 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HD9408 23.48283 59.23205
HD9927 HR464 3.53 3.76 0.06 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 6 HD9927 24.49815 48.62821
HD10380 HR489 2.64 2.81 0.03 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD10380 25.35789 5.48761
HD12929 HR617 6.47 6.88 0.03 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 9 HD12929 31.79336 23.46242
HD8890 HR424 3.14 3.28 0.02 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD8890 37.95456 89.26411
HD17361 HR824 1.77 1.88 0.1 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HD17361 41.97726 29.24711
HD19787 HR951 1.77 1.87 0.12 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD19787 47.90735 19.72668
HD20902 HR1017 2.97 3.1 0.01 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 8 HD20902 51.08071 49.86118
HD25604 HR1256 1.6 1.69 0.08 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 4 HD25604 61.17381 22.08192
HD36673 HR1865 1.7 1.77 0.09 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HD36673 83.18257 -17.82229
HD48329 HR2473 4.46 4.73 0.02 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 12 HD48329 100.98303 25.13113
HD62044 HR2973 2.18 2.31 0.05 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HD62044 115.82803 28.88351
HD69267 HR3249 4.71 5.03 0.03 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HD69267 124.12884 9.18554
HD86663 HR3950 4.29 4.62 0.05 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 7 HD86663 150.05336 8.04422
HD87837 HR3980 3.12 3.33 0.04 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 7 HD87837 151.97613 9.99751
HD94264 HR4247 2.4 2.54 0.03 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HD94264 163.32794 34.21487
HD99998 HR4432 3.01 3.21 0.02 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 5 HD99998 172.57872 -3.00349
HR4518 "" 3.05 3.23 0.01 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HR4518 176.51256 47.77941
HD113226 HR4932 3 3.17 0.02 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD113226 195.54416 10.95915
HD120477 HR5200 4.41 4.72 0.04 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD120477 207.36934 15.79791
HD135722 HR5681 2.59 2.74 0.02 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 4 HD135722 228.87568 33.31483
HD150997 HR6220 2.29 2.42 0.07 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD150997 250.72402 38.92225
HD156283 HR6418 4.87 5.2 0.02 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 5 HD156283 258.76181 36.80916
HD176411 HR7176 1.88 1.99 0.11 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD176411 284.90567 15.06830
HD180809 HR7314 2.1 2.23 0.08 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD180809 289.09206 38.13373
HD181276 HR7328 1.96 2.07 0.08 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 5 HD181276 289.27570 53.36846
HD186791 HR7525 6.63 7.08 0.03 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 6 HD186791 296.56492 10.61326
HD187929 HR7570 1.65 1.73 0.04 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 27 HD187929 298.11821 1.00566
HD188512 HR7602 2.07 2.18 0.09 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 12 HD188512 298.82830 6.40676
HD194093 HR7796 2.89 3.02 0.07 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HD194093 305.55709 40.25668
HD198149 HR7957 2.51 2.65 0.04 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 7 HD198149 311.32240 61.83878
HD200905 HR8079 5.19 5.56 0.03 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 4 HD200905 316.23276 43.92785
HD205435 HR8252 1.72 1.82 0.09 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HD205435 323.49522 45.59184
HD209750 HR8414 2.94 3.08 0.03 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 6 HD209750 331.44598 -0.31985
HD212496 HR8538 1.82 1.92 0.01 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 1 HD212496 335.89010 52.22905
HD213306 HR8571 1.46 1.52 0.02 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 29 HD213306 337.29274 58.41519
HD214868 HR8632 2.47 2.63 0.05 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD214868 340.12858 44.27631
HD215665 HR8667 2.14 2.26 0.1 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD215665 341.63282 23.56565
HD216131 HR8684 2.37 2.5 0.08 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 5 HD216131 342.50080 24.60158
HD221115 HR8923 1.52 1.61 0.16 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 4 HD221115 352.28873 12.76052
HD222107 HR8961 2.52 2.66 0.07 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 3 HD222107 354.39101 46.45815
HD222404 HR8974 3.06 3.24 0.03 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 5 HD222404 354.83709 77.63236
HR9045 "" 2.36 2.47 0.05 740nm "" 1 4 "LD procedure Quadratic limb from 1995A&AS..114..247C" 1999AJ....118.3032N "" 2 HR9045 358.59597 57.49938
HD28236 "" 4.28 "" 0.1 2.2 "" 2 8 "Semi-regular pulsating Star" 2001A&A...380..526R "" 0 HD28236 66.98831 16.04338
HD28292 "SAO 93950" 2.1 "" 0.4 2.2 "" 2 8 "binary, biased value" 2001A&A...380..526R "" 3 HD28292 67.10988 16.35967
HD28484 IRC+20083 2.91 "" 0.21 2.2 "" 2 8 "" 2001A&A...380..526R "" 2 HD28484 67.52185 16.17170
HD246450 "DY Tau" 3.04 "" 0.06 2.2 "" 2 8 "Not an S star (see 1979ApJ...234..538A)" 2001A&A...380..526R "" 0 HD246450 85.50018 18.54084
IRC+20128 "" 4.13 "" 0.11 2.2 "" 2 8 "candidate OH/IR" 2001A&A...380..526R "" 0 IRC+20128 89.23241 20.28809
HD47548 IRC+20156 4.77 "" 0.18 2.2 "" 2 8 "conflicting sp. Types. Measurement larger than expected for M spectral type and fluxes." 2001A&A...380..526R "" 0 HD47548 99.99667 20.48649
HD3627 HR165 3.94 "" 0.04 740nm "" 1 4 "" 2001AJ....122.2707N "" 6 HD3627 9.83198 30.86102
HD27697 HR1373 2.07 "" 0.07 740nm "" 1 4 "" 2001AJ....122.2707N "" 9 HD27697 65.73375 17.54252
HD28305 HR1409 2.26 "" 0.1 740nm "" 1 4 "" 2001AJ....122.2707N "" 6 HD28305 67.15416 19.18043
HD31964 HR1605 2.18 "" 0.08 740nm "" 1 4 "" 2001AJ....122.2707N "" 8 HD31964 75.49220 43.82330
HD61421 HR2943 5.19 "" 0.04 740nm "" 1 4 "" 2001AJ....122.2707N "" 22 HD61421 114.82550 5.22499
HD62509 HR2990 7.44 "" 0.03 740nm "" 1 4 "" 2001AJ....122.2707N "" 14 HD62509 116.32896 28.02620
HD76294 HR3547 3.08 "" 0.07 740nm "" 1 4 "" 2001AJ....122.2707N "" 3 HD76294 133.84844 5.94557
HD80493 HR3705 6.92 "" 0.04 740nm "" 1 4 "" 2001AJ....122.2707N "" 5 HD80493 140.26375 34.39256
HD84441 HR3873 2.56 "" 0.09 740nm "" 1 4 "" 2001AJ....122.2707N "" 3 HD84441 146.46281 23.77426
HD89758 HR4069 8 "" 0.03 740nm "" 1 4 "" 2001AJ....122.2707N "" 3 HD89758 155.58225 41.49952
HD95689 HR4301 6.47 "" 0.03 740nm "" 1 4 "" 2001AJ....122.2707N "" 5 HD95689 165.93196 61.75103
HD96833 HR4335 3.81 "" 0.05 740nm "" 1 4 "" 2001AJ....122.2707N "" 3 HD96833 167.41587 44.49849
HD98262 HR4377 4.42 "" 0.05 740nm "" 1 4 "" 2001AJ....122.2707N "" 2 HD98262 169.61974 33.09431
HD100029 HR4434 5.87 "" 0.03 740nm "" 1 4 "" 2001AJ....122.2707N "" 3 HD100029 172.85092 69.33107
HD102212 HR4517 5.18 "" 0.03 740nm "" 1 4 "" 2001AJ....122.2707N "" 9 HD102212 176.46483 6.52937
HD121370 HR5235 2.17 "" 0.06 740nm "" 1 4 "" 2001AJ....122.2707N "" 9 HD121370 208.67116 18.39772
HD133208 HR5602 2.33 "" 0.07 740nm "" 1 4 "" 2001AJ....122.2707N "" 6 HD133208 225.48651 40.39057
HD140573 HR5854 4.5 "" 0.07 740nm "" 1 4 "" 2001AJ....122.2707N "" 6 HD140573 236.06698 6.42563
HD148387 HR6132 3.13 "" 0.06 740nm "" 1 4 "" 2001AJ....122.2707N "" 8 HD148387 245.99786 61.51421
HD148856 HR6148 3.32 "" 0.07 740nm "" 1 4 "" 2001AJ....122.2707N "" 6 HD148856 247.55500 21.48961
HD150680 HR6212 2.37 "" 0.08 740nm "" 1 4 "" 2001AJ....122.2707N "" 8 HD150680 250.32150 31.60272
HD180711 HR7310 3.1 "" 0.05 740nm "" 1 4 "" 2001AJ....122.2707N "" 5 HD180711 288.13876 67.66154
HD192577 HR7735 4.17 "" 0.03 740nm "" 1 4 "" 2001AJ....122.2707N "" 8 HD192577 303.40794 46.74133
HD192909 HR7751 4.78 "" 0.1 740nm "" 1 4 "" 2001AJ....122.2707N "" 12 HD192909 303.86801 47.71423
HD206778 HR8308 7.58 "" 0.03 740nm "" 1 4 "" 2001AJ....122.2707N "" 3 HD206778 326.04648 9.87501
HD210745 HR8465 4.94 "" 0.04 740nm "" 1 4 "" 2001AJ....122.2707N "" 3 HD210745 332.71365 58.20126
HD215182 HR8650 3.06 "" 0.02 740nm "" 1 4 "" 2001AJ....122.2707N "" 4 HD215182 340.75052 30.22112
HD1326 GJ15A 0.984 1.014 0.05 2.2 0.335 1 8 "Linear limb-darkening coefficients from 1995A&AS..114..247C ." 2001ApJ...551L..81L "" 9 HD1326 4.59535 44.02295
HD16160 GJ105A 0.914 0.941 0.07 2.2 0.378 1 8 "Linear limb-darkening coefficients from 1995A&AS..114..247C ." 2001ApJ...551L..81L "" 6 HD16160 39.02043 6.88679
HD88230 GJ380 1.268 1.175 0.04 2.2 0.328 1 8 "Linear limb-darkening coefficients from 1995A&AS..114..247C ." 2001ApJ...551L..81L "" 3 HD88230 152.84225 49.45424
HD95735 GJ411 1.413 1.464 0.03 2.2 0.322 1 8 "Linear limb-darkening coefficients from 1995A&AS..114..247C ." 2001ApJ...551L..81L "" 3 HD95735 165.83414 35.96988
GJ699 "" 0.987 1.026 0.04 2.2 0.427 1 8 "Linear limb-darkening coefficients from 1995A&AS..114..247C ." 2001ApJ...551L..81L "" 1 GJ699 269.45208 4.69336
HD188915 "RR Aql" 10.73 "" 0.66 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD188915 299.40026 -1.88648
HD185293 "RT Aql" 7.24 "" 0.42 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD185293 294.50668 11.72173
HD39741 "V Cam" 8.36 "" 0.4 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD39741 90.63442 74.50756
HD218997 "V Cas" 6.3 "" 0.66 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD218997 347.91967 59.69972
HD225082 "Y Cas" 7.28 "" 0.59 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD225082 0.83943 55.68111
HD136753 "S CrB" 11.35 "" 0.26 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD136753 230.34982 31.36738
HD120499 "R Cvn" 6.63 "" 0.59 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD120499 207.23767 39.54255
HD120499 "R Cvn" 7.66 "" 0.28 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD120499 207.23767 39.54255
"HIP 96647" "BG Cyg" 4.14 "" 0.83 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 "HIP 96647" 294.74058 28.51295
IRC+40442 "DG Cyg" 5.36 "" 0.66 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 IRC+40442 310.85601 43.19743
HD149880 "R Dra" 12.04 "" 1.36 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD149880 248.16762 66.75498
HD145459 "RU Her" 8.71 "" 0.39 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD145459 242.56047 25.07064
HD148206 "U Her" 11.18 "" 0.6 2.2 "" 1 8 "" 2002AJ....124.1706V "" 3 HD148206 246.44780 18.89246
HD84346 "R Lmi" 14.4 "" 0.66 2.2 "" 1 8 "" 2002AJ....124.1706V "" 6 HD84346 146.39285 34.51190
IRC+10342 "RT Oph" 6.52 "" 0.64 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 IRC+10342 269.13348 11.16936
IRC+10498 "UU Peg" 9.56 "" 0.56 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 IRC+10498 322.76730 11.15380
HD224709 "Z Peg" 4.5 "" 0.71 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD224709 0.02734 25.88646
HD206890 "RR Per" 6.83 "" 0.61 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD206890 326.12745 25.00728
HD12025 "U Per" 5.41 "" 0.75 2.2 "" 1 8 "" 2002AJ....124.1706V "" 1 HD12025 29.89634 54.82223
IRC+00269 "BG Ser" 6.71 "" 0.78 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 IRC+00269 235.90324 -1.71046
HD136695 "S Ser" 5.51 "" 0.42 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD136695 230.41472 14.31475
HD136695 "S Ser" 5.35 "" 0.82 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD136695 230.41472 14.31475
HD139492 "S Umi" 7.98 "" 0.87 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD139492 232.39407 78.63341
HD126753 "RS Vir" 7.54 "" 0.67 2.2 "" 1 8 "" 2002AJ....124.1706V "" 0 HD126753 216.81830 4.67808
HD224490 "R Cas" 22.03 "" 4.13 2.2 "" 1 8 "R Cas data is a reanalysis of visibility data from van Belle et al. (1996)." 2002AJ....124.1706V "" 2 HD224490 359.60362 51.38880
HD1326 "" 0.984 "" 0.05 K "" 1 8 "" 2003A&A...397L...5S "" 9 HD1326 4.59535 44.02295
HD16160 "GJ 105A" 0.914 "" 0.07 K "" 1 8 "" 2003A&A...397L...5S "" 6 HD16160 39.02043 6.88679
HD33793 GJ191 0.681 "" 0.06 K "" 1 8 "" 2003A&A...397L...5S "" 2 HD33793 77.91912 -45.01843
HD36395 GJ205 1.124 "" 0.11 K "" 1 8 "" 2003A&A...397L...5S "" 5 HD36395 82.86415 -3.67723
HD88230 GJ380 1.268 "" 0.04 K "" 1 8 "" 2003A&A...397L...5S "" 3 HD88230 152.84225 49.45424
GJ411 "" 1.413 "" 0.03 K "" 1 8 "" 2003A&A...397L...5S "" 3 GJ411 165.83414 35.96988
GJ411 "" 1.413 "" 0.03 K "" 1 8 "" 2003A&A...397L...5S "" 3 GJ411 165.83414 35.96988
GJ551 "" 1.023 "" 0.08 K "" 1 8 "" 2003A&A...397L...5S "" 4 GJ551 217.42894 -62.67949
GJ699 "" 0.987 "" 0.04 K "" 1 8 "" 2003A&A...397L...5S "" 1 GJ699 269.45208 4.69336
HD217987 GJ887 1.366 "" 0.04 K "" 1 8 "" 2003A&A...397L...5S "" 3 HD217987 346.46681 -35.85307
HD39816 "U ORI" 15.14 "" 0.05 2.2 "" 2 8 "asymmetry, shell" 2003A&A...399..275R "" 5 HD39816 88.95487 20.17519
HD42995 "ETA GEM" 12.57 "" 0.04 2.2 "" 2 8 "discrepant values between various author's ang. Diam. Estimates." 2003A&A...399..275R "" 4 HD42995 93.71940 22.50679
HD76221 "X CNC" 8.26 "" 0.04 2.2 "" 2 8 "" 2003A&A...399..275R "" 3 HD76221 133.84534 17.23127
HD123139 "Tet Cen" 5.305 "" 0.02 K "" 1 8 "" 2003A&A...404.1087K "" 3 HD123139 211.67061 -36.36995
HD128620 "Alp Cen A" 8.314 8.511 0.016 K "" 1 8 "" 2003A&A...404.1087K "" 5 HD128620 219.90206 -60.83399
HD48915 "Alp CMa A" 5.936 6.039 0.016 K "" 1 8 "" 2003A&A...408..681K "" 21 HD48915 101.28716 -16.71612
HD3627 "DEL AND" 3.874 4.136 0.041 800nm "" 1 5 "We conserved the 800nm data (most favourable for LD/UD intercomparaison). LD procedure Quadratic limb from 1995A&AS..114..247C. Error is LD_error (conservative)" 2003AJ....126.2502M "" 6 HD3627 9.83198 30.86102
